,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,LOG PRICE,Chhattarpur,Chittaranjan Park,Common Wealth Games Village,Dilshad Garden,Dwarka,Greater Kailash,Hauz Khas,Kalkaji,Karol Bagh,Kirti Nagar,Lajpat Nagar,Laxmi Nagar,Mahavir Enclave,Malviya Nagar,Mathura Road,Mehrauli,New Friends Colony,Okhla,Other,Paschim Vihar,Patel Nagar,Rohini Sector,Safdarjung Enclave,Saket,Shahdara,Sheikh Sarai,Sultanpur,Uttam Nagar,Vasant Kunj,Vasundhara Enclave
23,900.0,2,2.0,0.5,Other,1.0,10500000,1,0,1,16.166885815127753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,914.9315,2,2.0,0.5,Rohini Sector,1.0,12000000,1,0,0,16.300417207752275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,1100.0,3,3.0,1.0,Rohini Sector,1.0,7000000,1,1,0,15.761420707019587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,800.0,3,2.0,0.5,Rohini Sector,1.0,7000000,1,0,0,15.761420707019587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,500.0,1,1.0,0.5,Rohini Sector,1.0,3400000,1,0,1,15.03928598958639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,28.0,2,2.0,1.0,Rohini Sector,1.0,5000000,1,1,1,15.424948470398375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,2160.0,4,4.0,1.0,Rohini Sector,1.0,21000000,1,1,0,16.860032995687696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,1500.0,1,1.0,0.0,Lajpat Nagar,0.0,13500000,1,0,1,16.41820024340866,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,800.0,2,2.0,0.0,Lajpat Nagar,1.0,15000000,1,1,0,16.523560759066484,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,900.0,2,2.0,0.0,Lajpat Nagar,1.0,10500000,1,1,0,16.166885815127753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
